year,team_1,team_2,team_3,team_4
2023,FAU #9,Miami #5,San Diego St. #5,Connecticut #4
2022,Kansas #1,UNC #8,Duke #2,Villanova #2
2021,Baylor #1,Gonzaga #1,Houston #2,UCLA #11
2019,Virginia #1,Texas Tech #3,Auburn #5,Michigan State #2
2018,Villanova #1,Michigan #3,Kansas #1,Loyola-Chicago #11
2017,N. Carolina #1,Gonzaga #1,Oregon #3,South Carolina #7
2016,Villanova #2,N. Carolina #1,Oklahoma #2,Syracuse #10
2015,Duke #1,Wisconsin #1,Kentucky #1,Michigan St. #7
2014,Connecticut #7,Kentucky #8,Florida #1,Wisconsin #2
2013,Louisville #1,Michigan #4,Wichita St. #9,Syracuse #4
2012,Kentucky #1,Kansas #2,Louisville #4,Ohio St. #2
2011,UConn #3,Butler #8,Kentucky #4,VCU #11
2010,Duke #1,Butler #5,West Virginia #2,Michigan St. #5
2009,N. Carolina #1,Michigan St. #2,Villanova #3,UConn #1
2008,Kansas #1,Memphis #1,N. Carolina #1,UCLA #1
2007,Florida #1,Ohio St. #1,UCLA #2,Georgetown #2
2006,Florida #3,UCLA #2,George Mason #11,LSU #4
2005,N. Carolina #1,Illinois #1,Michigan St. #5,Louisville #4
2004,UConn #2,Ga. Tech #3,Duke #1,Oklahoma St. #2
2003,Syracuse #3,Kansas #2,Texas #1,Marquette #3
2002,Maryland #1,Indiana #5,Kansas #1,Oklahoma #2
2001,Duke #1,Arizona #2,Maryland #3,Michigan St. #1
2000,Michigan St. #1,Florida #5,Wisconsin #8,N. Carolina #8
1999,UConn #1,Duke #1,Ohio St. #4,Michigan St. #1
1998,Kentucky #2,Utah #3,Stanford #3,N. Carolina #1
1997,Arizona #4,Kentucky #1,N. Carolina #1,Minnesota #1
1996,Kentucky #1,Syracuse #4,Umass #1,Miss. St. #5
1995,UCLA #1,Arkansas #2,Oklahoma St #4,N. Carolina #2
1994,Arkansas #1,Duke #2,Arizona #2,Florida #3
1993,N. Carolina #1,Michigan #1,Kansas #2,Kentucky #1
1992,Duke #1,Michigan #6,Indiana #2,Cincinnati #4
1991,Duke #1,Kansas #3,UNLV #1,N. Carolina #2
1990,UNLV #1,Duke #3,Georgia Tech #4,Arkansas #4
1989,Michigan #3,Seton Hall #3,Illinois #1,Duke #2
1988,Kansas #6,Oklahoma #1,Duke #2,Arizona #1
1987,Indiana #1,Syracuse #2,UNLV #1,Providence #6
1986,Louisville #2,Duke #1,LSU #11,Kansas #1
1985,Villanova #8,Georgetown #1,Memphis St. #2,St. John's #1
1984,Georgetown #1,Houston #2,Kentucky #1,Virginia #7
1983,N.C. State #6,Houston #1,Louisville #1,Georgia #4
1982,N. Carolina #1,Georgetown #1,Houston #6,Louisville #3
1981,Indiana #3,N. Carolina #2,Virginia #1,LSU #1
1980,Louisville #2,UCLA #8,Purdue #6,Iowa #5
1979,Michigan St. #2,Indiana St. #1,DePaul #2,Pennsylvania #9
